"id";"name";"type";"location";"city";"description";"ipadd";"site_code";"area_code";"tagline"
149;"Maguwoharjo Syariah";"KK";"Pasar Stan, Maguwoharjo, Depok";"Sleman";"";"172.16.31.0/24";805;801;""
150;"UMY";"KK";"Jl. Ringroad Selatan(Brawijaya), Geblagan, Tamantirto, Kasihan";"Bantul";"";"172.16.112.0/24";806;801;""
151;"Wonosari Syariah";"KCP";"Jl. Taman Bhakti, Wonosari";"Gunungkidul";"";"172.16.117.0/24";807;801;""
152;"Godean Syariah";"KCP";"Jl. Godean, Sidoagung, Godean";"Sleman";"";"172.16.26.0/24";808;801;""
153;"UII";"KK";"Kampus Terpadu UII, Jl. Kaliurang KM 14,5, Ngemplak";"Sleman";"";"172.16.81.0/24";809;801;""
154;"UPTSA Wonosari 2";"KK";"Komplek Setda Kab. Gunung Kidul, Jl. Brigjend Katamso No. 1, Wonosari";"Gunungkidul";"";"172.16.70.0/24";"020";"002";""
156;"UAD";"PP";"Jl. Kapas No.9, Semaki, Umbulharjo";"Yogyakarta";"";"172.16.113.0/24";"";801;"universitas ahmad dahlan"
157;"UAD5";"PARTNER";"Jl. Ki Ageng Pemanahan No.19, Sorosutan, Umbulharjo";"Yogyakarta";"";"172.16.120.0/24";"";801;"universitas ahmad dahlan kampus 5"
158;"PASTY";"KK";"Jl. Bantul KM. 1, Dongkelan";"Yogyakarta";"";"172.16.125.0/24";"006";"006";""
159;"Girimulyo";"KK";"Dusun Gendu, RT 01 RW 04, Jatimulyo, Girimulyo";"Kulon Progo";"";"172.16.133.0/24";"";"003";""
160;"Pantirini";"KK";"Komplek RS Panti Rini, Jl. Yogyakarta - Solo km 12,5, Kalasan";"Sleman";"";"172.16.132.0/24";"";"005";""
161;"Pasar Sentolo Baru";"PP";"Jl. Wates-Yogyakarta, Klebakan, Salamrejo, Sentolo";"Kulon Progo";"";"";"";"003";""
162;"Dipenda Sleman";"PP";"Jl. Parasamya, Beran, Tridadi";"Sleman";"";"";"";"005";""
163;"RS Nyi Ageng Serang";"KK";"Jl. Bantar Kulon, Banguncipto, Sentolo";"Kulon Progo";"";"172.16.138.0/24";546;"003";""
