"id";"ipadd1";"ipadd2";"isp";"bandwidth";"media";"services";"status";"ipadd_others";"vrf_name";"links_name";"sites1_id";"sites2_id";"isp_link_id";"input_date"
57;"10.115.1.138/30";"10.115.1.137/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Tempel-ICON";50;2;"";"2018-11-30 03:47:53.225845"
58;"10.111.1.18/30";"10.111.1.17/30";"Lintasarta";256;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Bantul-Lintasarta";8;1;"";"2018-11-30 03:47:53.225845"
59;"10.117.1.18/30";"10.117.1.17/30";"Telkom";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"Bantul-Telkom";8;3;"";"2018-11-30 03:47:53.225845"
60;"10.111.1.170/30";"10.111.1.169/30";"Lintasarta";256;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Imogiri-Lintasarta";34;1;"";"2018-11-30 03:47:53.225845"
61;"10.115.1.170/30";"10.115.1.169/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Imogiri-ICON";34;2;"";"2018-11-30 03:47:53.225845"
62;"10.111.1.198/30";"10.111.1.197/30";"Lintasarta";256;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Piyungan-Lintasarta";33;1;"";"2018-11-30 03:47:53.225845"
63;"10.115.1.198/30";"10.115.1.197/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Piyungan-ICON";33;2;"";"2018-11-30 03:47:53.225845"
64;"10.111.1.42/30";"10.111.1.41/30";"Lintasarta";256;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Sewon-Lintasarta";37;1;"";"2018-11-30 03:47:53.225845"
65;"10.115.1.194/30";"10.115.1.193/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Srandakan-ICON";36;2;"";"2018-11-30 03:47:53.225845"
66;"10.117.1.194/30";"10.117.1.193/30";"Telkom";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"Srandakan-Telkom";36;3;"";"2018-11-30 03:47:53.225845"
67;"10.111.1.30/30";"10.111.1.29/30";"Lintasarta";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Malioboro-Lintasarta";11;1;"";"2018-11-30 03:47:53.225845"
68;"10.117.1.30/30";"10.117.1.29/30";"Telkom";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"Malioboro-Telkom";11;3;"";"2018-11-30 03:47:53.225845"
69;"10.111.1.246/30";"10.111.1.245/30";"Lintasarta";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Sardjito-Lintasarta";72;1;"";"2018-11-30 03:47:53.225845"
70;"10.115.1.246/30";"10.115.1.245/30";"ICON";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Sardjito-ICON";72;2;"";"2018-11-30 03:47:53.225845"
71;"10.111.1.78/30";"10.111.1.77/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Parasamya-Lintasarta";42;1;"";"2018-11-30 03:47:53.225845"
72;"10.111.1.50/30";"10.111.1.49/30";"Lintasarta";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Bendungan-Lintasarta";30;1;"";"2018-11-30 03:47:53.225845"
73;"10.111.1.126/30";"10.111.1.125/30";"Lintasarta";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Lempuyangan-Lintasarta";14;1;"";"2018-11-30 03:47:53.225845"
74;"10.111.1.166/30";"10.111.1.165/30";"Lintasarta";256;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Pleret-Lintasarta";41;1;"";"2018-11-30 03:47:53.225845"
75;"10.115.1.166/30";"10.115.1.165/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Pleret-ICON";41;2;"";"2018-11-30 03:47:53.225845"
76;"10.111.1.174/30";"10.111.1.173/30";"Lintasarta";128;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Kretek-Lintasarta";40;1;"";"2018-11-30 03:47:53.225845"
77;"10.115.1.174/30";"10.115.1.173/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Kretek-ICON";40;2;"";"2018-11-30 03:47:53.225845"
